model,quant,arc_chat,arc_chat_stderr,bfcl_accuracy,bfcl_all,bfcl_all2,bfcl_exec_multiple_acc,bfcl_exec_multiple_sterr,bfcl_exec_parallel_acc,bfcl_exec_parallel_multiple_acc,bfcl_exec_parallel_multiple_sterr,bfcl_exec_parallel_sterr,bfcl_exec_simple_acc,bfcl_exec_simple_sterr,bfcl_irrelevance_acc,bfcl_irrelevance_sterr,bfcl_live_irrelevance_acc,bfcl_live_irrelevance_sterr,bfcl_live_multiple_acc,bfcl_live_multiple_sterr,bfcl_live_parallel_acc,bfcl_live_parallel_multiple_acc,bfcl_live_parallel_multiple_sterr,bfcl_live_parallel_sterr,bfcl_live_relevance_acc,bfcl_live_relevance_sterr,bfcl_live_simple_acc,bfcl_live_simple_sterr,bfcl_multi_turn_base_acc,bfcl_multi_turn_base_sterr,bfcl_multi_turn_composite_acc,bfcl_multi_turn_composite_sterr,bfcl_multi_turn_long_context_acc,bfcl_multi_turn_long_context_sterr,bfcl_multi_turn_miss_func_acc,bfcl_multi_turn_miss_func_sterr,bfcl_multi_turn_miss_param_acc,bfcl_multi_turn_miss_param_sterr,bfcl_multiple_acc,bfcl_multiple_sterr,bfcl_parallel_acc,bfcl_parallel_multiple_acc,bfcl_parallel_multiple_sterr,bfcl_parallel_sterr,bfcl_simple_java_acc,bfcl_simple_java_sterr,bfcl_simple_javascript_acc,bfcl_simple_javascript_sterr,bfcl_simple_python_acc,bfcl_simple_python_sterr,bfcl_sql_acc,bfcl_sql_sterr,bfcl_stderr,bfcl_total_samples,bigcodebench_mean,bigcodebench_std,bigcodebench_total_samples,eval_time_seconds,gsm8k_flexible,gsm8k_flexible_stderr,gsm8k_strict,gsm8k_strict_stderr,humaneval_pass@1,humaneval_pass@1_stderr,humaneval_plus_pass@1,humaneval_plus_pass@1_stderr,ifeval_inst_loose,ifeval_inst_loose_stderr,ifeval_inst_strict,ifeval_inst_strict_stderr,ifeval_prompt_loose,ifeval_prompt_loose_stderr,ifeval_prompt_strict,ifeval_prompt_strict_stderr,musr_accuracy,musr_stderr,musr_total_samples,total_samples
gemma-4-26B-A4B-it,UD-IQ3_XXS,0.916382,0.008089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.891585,0.008564,0.875663,0.009089,,,,,0.93765,,0.925659,,0.909427,0.012351,0.89464,0.013212,,,,
gemma-4-26B-A4B-it,UD-IQ4_NL,0.930887,0.007412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.878696,0.008993,0.863533,0.009456,,,,,0.931655,,0.920863,,0.896488,0.013109,0.883549,0.013804,,,,
gemma-4-26B-A4B-it,UD-IQ4_XS,0.930034,0.007454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.880212,0.008944,0.865049,0.009411,,,,,0.931655,,0.920863,,0.896488,0.013109,0.881701,0.013898,,,,
gemma-4-26B-A4B-it,UD-Q2_K_XL,0.917235,0.008052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.888552,0.008668,0.88097,0.00892,,,,,0.936451,,0.922062,,0.907579,0.012463,0.890943,0.013414,,,,
gemma-4-26B-A4B-it,UD-Q3_K_M,0.931741,0.00737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875663,0.009089,0.870356,0.009253,,,,,0.936451,,0.923261,,0.90573,0.012574,0.889094,0.013513,,,,
gemma-4-26B-A4B-it,UD-Q3_K_XL,0.923208,0.007781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.880212,0.008944,0.870356,0.009253,,,,,0.93765,,0.923261,,0.90573,0.012574,0.889094,0.013513,,,,
gemma-4-26B-A4B-it,UD-Q4_K_M,0.936007,0.007152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.899924,0.008266,0.890068,0.008616,,,,,0.93765,,0.92446,,0.907579,0.012463,0.890943,0.013414,,,,
gemma-4-26B-A4B-it,UD-Q4_K_S,0.94198,0.006832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.894617,0.008458,0.885519,0.00877,,,,,0.925659,,0.920863,,0.890943,0.013414,0.883549,0.013804,,,,
gemma-4-26B-A4B-it,UD-Q4_K_XL,0.936007,0.007152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.899924,0.008266,0.891585,0.008564,,,,,0.93765,,0.92446,,0.90573,0.012574,0.892791,0.013314,,,,
gemma-4-26B-A4B-it,UD-Q5_K_M,0.935154,0.007196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90144,0.00821,0.887036,0.008719,,,,,0.942446,,0.931655,,0.914972,0.012003,0.900185,0.012899,,,,
gemma-4-26B-A4B-it,UD-Q5_K_S,0.942833,0.006784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.896892,0.008376,0.886277,0.008745,,,,,0.942446,,0.925659,,0.914972,0.012003,0.892791,0.013314,,,,
gemma-4-26B-A4B-it,UD-Q5_K_XL,0.935154,0.007196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.898408,0.008322,0.886277,0.008745,,,,,0.938849,,0.92446,,0.909427,0.012351,0.889094,0.013513,,,,
